name,description,longDescription,category,logoColor,websiteURL,githubURL,docsURL
dbt (data build tool),Command-line tool for analytics engineering that enables data transformation in warehouses,"A development framework that enables analytics engineers to transform data in their warehouses by writing modular SQL while leveraging engineering best practices like version control and CI/CD. dbt helps teams create reliable data pipelines with testing, documentation, and lineage tracking.",datalayer,#FF694B,https://www.getdbt.com,https://github.com/dbt-labs/dbt-core,https://docs.getdbt.com
Deepgram,Speech-to-text API platform with real-time transcription and understanding capabilities,"An AI speech recognition platform that provides real-time transcription with high accuracy and advanced features like speaker diarization, language detection, and topic detection. Deepgram uses deep learning to deliver speech-to-text capabilities optimized for specific domains and use cases.",applications,#52ADFF,https://deepgram.com,https://github.com/deepgram,https://developers.deepgram.com/docs
NVIDIA GPU Cloud (NGC),"Container registry and catalog for GPU-optimized software for AI, machine learning, and HPC","A hub for GPU-optimized software that provides ready-to-run containers for AI, machine learning, and high-performance computing. NGC offers AI frameworks, industry solutions, and SDKs optimized for NVIDIA GPUs, enabling developers to start quickly with pre-configured environments.",infrastructure,#76B900,https://catalog.ngc.nvidia.com,https://github.com/NVIDIA,https://docs.nvidia.com/ngc/
MinIO,"High-performance, S3-compatible object storage for AI and ML workloads","A high-performance, S3-compatible object storage system built for AI/ML workloads, providing the performance, scalability, and data protection required for large-scale machine learning operations. MinIO is optimized for large datasets and offers features like erasure coding, bitrot protection, and encryption.",datalayer,#C72C48,https://min.io,https://github.com/minio/minio,https://docs.min.io
Apache Spark,Unified analytics engine for large-scale data processing with support for ML workloads,"A unified analytics engine for large-scale data processing that provides high-level APIs in Java, Scala, Python, and R, and includes libraries for SQL, streaming, machine learning (MLlib), and graph processing. Spark offers speed, ease of use, and sophisticated analytics for big data workloads.",datalayer,#E25A1C,https://spark.apache.org,https://github.com/apache/spark,https://spark.apache.org/docs/latest/
Weaviate,Open-source vector database with semantic search and generative capabilities,"An open-source vector database that enables developers to build applications with semantic search, generative AI, and language understanding capabilities. Weaviate stores both objects and vectors, allowing for contextual searches, embedding storage, and real-time AI integrations.",featurestore,#FF3256,https://weaviate.io,https://github.com/weaviate/weaviate,https://weaviate.io/developers/weaviate
Qdrant,Vector search engine designed for production-ready similarity search,"An open-source vector similarity search engine with extended filtering support, designed for production environments. Qdrant provides fast and accurate nearest neighbor search with additional payload-based pre-filtering, incremental updates, and horizontal scaling capabilities.",featurestore,#3D6FDB,https://qdrant.tech,https://github.com/qdrant/qdrant,https://qdrant.tech/documentation/
JAX,High-performance numerical computing library with automatic differentiation for ML research,A high-performance numerical computing library that combines NumPy and automatic differentiation for research in machine learning. JAX enables researchers to transform numerical functions with just-in-time compilation to GPU/TPU and automatic differentiation for gradient-based optimization.,modeldevelopment,#0166A9,https://jax.readthedocs.io,https://github.com/google/jax,https://jax.readthedocs.io/en/latest/
Jupyter,"Interactive computing environment for data exploration, visualization, and collaboration","An open-source project providing interactive computing environments across dozens of programming languages. Jupyter Notebooks combine live code, equations, narrative text, and visualizations, making them ideal for data exploration, analysis, sharing insights, and collaborative ML development.",modeldevelopment,#F37726,https://jupyter.org,https://github.com/jupyter/jupyter,https://docs.jupyter.org
ClearML,"MLOps platform for tracking, orchestrating, and automating machine learning workflows","An open-source MLOps platform designed to help teams manage, track and automate their machine learning workflows. ClearML provides experiment tracking, model management, dataset versioning, and orchestration capabilities, enabling seamless tracking from research to production.",mlops,#10AFED,https://clear.ml,https://github.com/allegroai/clearml,https://clear.ml/docs
ZenML,Extensible MLOps framework for creating production-ready ML pipelines,"An extensible MLOps framework that simplifies the creation of production-ready machine learning pipelines. ZenML provides a unified way to define, run, and manage reproducible ML workflows that integrate with various tools and platforms across the ML lifecycle.",mlops,#0F62FE,https://zenml.io,https://github.com/zenml-io/zenml,https://docs.zenml.io
Vertex AI,Google Cloud's unified ML platform for building and deploying models at scale,"Google Cloud's unified machine learning platform enabling data scientists and ML engineers to build, deploy, and scale ML models faster. Vertex AI combines data engineering, ML engineering, and application development into a unified platform with integrated tools for the entire ML lifecycle.",mlops,#4285F4,https://cloud.google.com/vertex-ai,https://github.com/googleapis/python-aiplatform,https://cloud.google.com/vertex-ai/docs
TorchServe,Flexible tool for serving PyTorch models in production environments,"A flexible and easy-to-use tool for serving PyTorch models in production. TorchServe provides a model server optimized for PyTorch models with model versioning, metrics, and monitoring capabilities, making it simple to deploy models via REST API endpoints.",modelserving,#EE4C2C,https://pytorch.org/serve,https://github.com/pytorch/serve,https://pytorch.org/serve/index.html
KServe,Kubernetes-native model serving platform for serverless machine learning inference,"A Kubernetes-native platform for deploying machine learning models as serverless inference services. KServe provides a serverless framework for ML serving with features like autoscaling, canary rollouts, and model explainability, supporting multiple frameworks like TensorFlow, PyTorch, and ONNX.",modelserving,#4279F4,https://kserve.github.io/website,https://github.com/kserve/kserve,https://kserve.github.io/website/latest/get_started/
WhyLabs,AI observability platform for monitoring and improving ML model performance,"An AI observability platform that enables data scientists and engineers to monitor and improve ML model performance in production. WhyLabs detects data drift, model drift, and data quality issues, providing real-time monitoring, alerting, and diagnostic capabilities for ML systems.",monitoring,#7839EE,https://whylabs.ai,https://github.com/whylabs/whylogs,https://docs.whylabs.ai
Great Expectations,"Data quality validation, documentation, and profiling framework","An open-source Python framework for validating, documenting, and profiling data to maintain quality and prevent pipeline failures. Great Expectations helps teams maintain data quality by defining what to expect from their data, validating those expectations, and preventing unexpected issues from affecting downstream systems.",datalayer,#FF5975,https://greatexpectations.io,https://github.com/great-expectations/great_expectations,https://docs.greatexpectations.io
Arize AI,"ML observability platform for monitoring, troubleshooting, and explainability","A machine learning observability platform for monitoring model performance, troubleshooting issues, and explaining model behavior. Arize helps teams detect drift, bias, and data quality issues, track model performance metrics, and debug model predictions with visualization and explainability tools.",monitoring,#0ABCFF,https://arize.com,https://github.com/Arize-ai,https://docs.arize.com
HashiCorp Vault,Secrets management and data protection for sensitive information in AI systems,"A secrets management and data protection platform that controls access to sensitive information in dynamic cloud environments. Vault provides secure storage for API keys, passwords, certificates, and encryption keys, with features for secure access control and audit logging.",security,#000000,https://www.vaultproject.io,https://github.com/hashicorp/vault,https://developer.hashicorp.com/vault/docs
Guild AI,"Experiment tracking, optimization, and reproducibility for machine learning","An open-source tool designed for experiment tracking, reproducibility, and optimization of machine learning models. Guild AI captures experiment results, hyperparameters, dependencies, and artifacts, making it easy to compare runs, optimize hyperparameters, and reproduce results.",mlops,#4DB5AF,https://guild.ai,https://github.com/guildai/guildai,https://my.guild.ai/docs
LlamaHub,Library of data connectors for RAG applications and LLM-based systems,"A collection of data connectors for building LLM-based applications with external data sources. LlamaHub provides ready-to-use connectors for various data sources, simplifying the process of ingesting, transforming, and using custom data with large language models for retrieval-augmented generation.",featurestore,#5E64F9,https://llamahub.ai,https://github.com/run-llama/llama-hub,https://docs.llamaindex.ai/en/stable/module_guides/loading/llama_hub.html
Prefect,"Workflow orchestration tool for building, running, and monitoring data pipelines","A workflow orchestration platform that enables data engineers and data scientists to build, run, and monitor data pipelines. Prefect provides a Pythonic interface for workflow management, with features for scheduling, error handling, retries, and observability for complex data workflows.",datalayer,#24CBE5,https://www.prefect.io,https://github.com/PrefectHQ/prefect,https://docs.prefect.io
Modal,Platform for running machine learning jobs in the cloud with serverless infrastructure,"A platform that makes it easy to run or deploy machine learning models in the cloud with serverless infrastructure. Modal handles containerization, scaling, and GPU provisioning automatically, enabling developers to focus on code rather than infrastructure management.",infrastructure,#8A3391,https://modal.com,https://github.com/modal-labs/modal-examples,https://modal.com/docs/guide
SageMaker,"Amazon's fully-managed machine learning service for building, training, and deploying ML models","A fully managed service from AWS that provides tools for building, training, and deploying machine learning models at scale. SageMaker includes integrated tools for the entire ML lifecycle, from data labeling and preparation to model training, deployment, and monitoring.",mlops,#FF9900,https://aws.amazon.com/sagemaker,https://github.com/aws/amazon-sagemaker-examples,https://docs.aws.amazon.com/sagemaker
Azure Machine Learning,Microsoft's enterprise platform for the complete machine learning lifecycle,"Microsoft's cloud service for accelerating and managing the machine learning project lifecycle. Azure Machine Learning provides a comprehensive set of tools for data preparation, model training, deployment, and MLOps capabilities, with integration across Microsoft's cloud ecosystem.",mlops,#0078D4,https://azure.microsoft.com/en-us/services/machine-learning,https://github.com/Azure/MachineLearningNotebooks,https://learn.microsoft.com/en-us/azure/machine-learning
Neptune.ai,Metadata store for MLOps designed for experiment tracking and model registry,"A metadata store for MLOps that allows teams to store, organize, and compare machine learning experiments. Neptune.ai provides features for experiment tracking, model registry, monitoring, and visualization, enabling better collaboration, reproducibility, and organization of the ML development process.",mlops,#4570B8,https://neptune.ai,https://github.com/neptune-ai,https://docs.neptune.ai
Comet,"MLOps platform for tracking, comparing, explaining, and optimizing experiments and models","An MLOps platform that enables data scientists and teams to track, compare, explain, and optimize experiments and models. Comet provides experiment tracking, model management, dataset versioning, and model production monitoring across the machine learning lifecycle.",mlops,#53CDB8,https://www.comet.com,https://github.com/comet-ml/comet-examples,https://www.comet.com/docs
LiteLLM,"Library for simplified, unified access to any LLM through a standardized interface","An open-source library that provides a unified interface to call all LLM APIs using the OpenAI format. LiteLLM standardizes inputs/outputs across providers like OpenAI, Anthropic, Azure, and more, handling API key management, fallbacks, and caching to simplify LLM integration in applications.",modelserving,#6366F1,https://litellm.ai,https://github.com/BerriAI/litellm,https://docs.litellm.ai
Hugging Face Transformers,Library of state-of-the-art pre-trained models for natural language processing and computer vision,"A library providing state-of-the-art machine learning models for natural language processing, computer vision, audio processing, and more. Transformers provides thousands of pre-trained models in over 100 languages, with easy-to-use interfaces for fine-tuning, evaluation, and inference.",modeldevelopment,#FFBD59,https://huggingface.co/transformers,https://github.com/huggingface/transformers,https://huggingface.co/docs/transformers
Semantic Kernel,SDK for integrating AI large language models with conventional programming languages,"An open-source SDK from Microsoft that integrates AI large language models with conventional programming languages. Semantic Kernel provides a framework for integrating prompts, semantic functions, connectors, and memory into applications, bridging AI and traditional programming paradigms.",llmops,#3F76E0,https://learn.microsoft.com/en-us/semantic-kernel,https://github.com/microsoft/semantic-kernel,https://learn.microsoft.com/en-us/semantic-kernel/overview
Dify,Open-source platform for building and operating AI applications with LLMs,"An open-source platform for creating, operating, and enhancing large language model applications. Dify provides a visual interface to build LLM apps with automated backend engineering, handling prompt management, context augmentation, and inference orchestration.",applications,#6938EF,https://dify.ai,https://github.com/langgenius/dify,https://docs.dify.ai/getting-started/introduction
Ollama,"Run, create, and customize large language models locally","A tool that lets you run, create, and customize large language models locally. Ollama provides an easy way to run models like Llama 2, Mistral, and others on your own hardware, with optimized inference and simple tools for customizing models through fine-tuning and model creation.",modelserving,#FF61A9,https://ollama.ai,https://github.com/ollama/ollama,https://github.com/ollama/ollama/blob/main/docs/README.md
ONNX Runtime,Cross-platform inference accelerator for machine learning models,"A cross-platform, high-performance scoring engine for machine learning models. ONNX Runtime enables interoperability between different ML frameworks and hardware acceleration across various platforms, providing optimized inference for models from frameworks like PyTorch, TensorFlow, and scikit-learn.",modelserving,#4073B0,https://onnxruntime.ai,https://github.com/microsoft/onnxruntime,https://onnxruntime.ai/docs
TensorRT,High-performance deep learning inference optimizer and runtime for NVIDIA GPUs,"A high-performance deep learning inference optimizer and runtime that delivers low latency and high throughput for deep learning inference applications. TensorRT optimizes neural network models to maximize throughput and efficiency on NVIDIA GPUs, with support for various model formats.",modelserving,#76B900,https://developer.nvidia.com/tensorrt,https://github.com/NVIDIA/TensorRT,https://docs.nvidia.com/deeplearning/tensorrt/developer-guide/index.html
Flowise,Open-source UI visual tool for building LLM flows with LangchainJS,"An open-source UI visual tool for building customized LLM flows using LangchainJS. Flowise provides a drag-and-drop interface for creating LLM applications with chains, agents, and LangchainJS components, making it easy to build and deploy LLM-powered applications without extensive coding.",applications,#3ABFF8,https://flowiseai.com,https://github.com/FlowiseAI/Flowise,https://docs.flowiseai.com
Llama Factory,One-stop solution for fine-tuning large language models,"A unified framework for fine-tuning large language models that supports various techniques like supervised fine-tuning, RLHF, DPO, and more. Llama Factory simplifies the process of customizing foundation models for specific use cases with easy configuration and multi-GPU training support.",modeldevelopment,#F2A900,https://github.com/hiyouga/LLaMA-Factory,https://github.com/hiyouga/LLaMA-Factory,https://github.com/hiyouga/LLaMA-Factory/wiki
AWS,Amazon's comprehensive cloud computing platform with specific AI/ML services,"Amazon Web Services offers a broad set of global cloud-based products including compute, storage, databases, analytics, and AI/ML services. AWS provides specialized services like SageMaker, Bedrock, and specialized compute instances with NVIDIA GPUs and AWS Inferentia chips for AI workloads.",infrastructure,#FF9900,https://aws.amazon.com,https://github.com/aws,https://docs.aws.amazon.com
Google Cloud Platform,Google's suite of cloud computing services with specialized AI hardware and services,"Google Cloud Platform provides suite of cloud computing services including infrastructure, data analytics, machine learning, and application development. For AI, GCP offers specialized TPU hardware, Vertex AI platform, and pre-trained models through APIs for vision, language, and conversation.",infrastructure,#4285F4,https://cloud.google.com,https://github.com/GoogleCloudPlatform,https://cloud.google.com/docs
Microsoft Azure,Microsoft's cloud computing platform with integrated AI and machine learning services,"Microsoft's cloud computing service for building, testing, deploying, and managing applications and services. Azure provides specialized AI infrastructure with NVIDIA GPUs, comprehensive machine learning services through Azure ML, and Azure OpenAI Service for API access to advanced language models.",infrastructure,#0078D4,https://azure.microsoft.com,https://github.com/Azure,https://learn.microsoft.com/en-us/azure
IBM Cloud,IBM's integrated cloud platform with Watson AI services and enterprise-focused solutions,"IBM's integrated cloud platform that provides compute, storage, networking, and AI services with a focus on enterprise needs. IBM Cloud includes Watson services for natural language processing, computer vision, and other AI capabilities, along with specialized hardware for AI workloads.",infrastructure,#1261FE,https://www.ibm.com/cloud,https://github.com/IBM-Cloud,https://cloud.ibm.com/docs
Oracle Cloud Infrastructure,Enterprise-focused cloud platform with high-performance AI infrastructure and services,"Oracle's enterprise cloud platform that provides high-performance computing, storage, networking, and database services. For AI workloads, OCI offers specialized bare metal compute instances with NVIDIA GPUs, AI services for vision and language, and data science tools for model development.",infrastructure,#F80000,https://www.oracle.com/cloud,https://github.com/oracle,https://docs.oracle.com/en-us/iaas
Alibaba Cloud,Leading cloud provider in Asia with extensive AI capabilities and services,"Alibaba Group's cloud computing service offering elastic computing, storage, networking, security, and AI capabilities. Alibaba Cloud provides specialized infrastructure for AI workloads, pre-trained models through APIs, and integrated machine learning platform services.",infrastructure,#FF6A00,https://www.alibabacloud.com,https://github.com/aliyun,https://www.alibabacloud.com/help
Lambda Cloud,GPU cloud specialized for AI and machine learning workloads with competitive pricing,A cloud service specialized for AI and machine learning workloads that provides on-demand access to NVIDIA GPUs at competitive prices. Lambda Cloud offers a simple interface for spinning up GPU instances optimized for deep learning frameworks and computational workloads.,infrastructure,#95D600,https://lambdalabs.com/service/gpu-cloud,https://github.com/lambdal,https://docs.lambdalabs.com/cloud/overview
RunPod,GPU cloud platform offering flexible access to NVIDIA GPUs for AI development and training,"A cloud computing platform that provides on-demand access to NVIDIA GPUs for AI development, training, and inference. RunPod offers flexible deployment options, including serverless APIs for inference and pre-configured templates for popular ML frameworks and applications.",infrastructure,#6C5CE7,https://www.runpod.io,https://github.com/runpod,https://docs.runpod.io
CoreWeave,Specialized cloud provider for compute-intensive workloads with focus on GPU availability,"A specialized cloud provider offering high-performance compute resources optimized for AI, machine learning, and visual effects. CoreWeave provides fast deployment of NVIDIA GPUs, competitive pricing, and low-latency inference for applications requiring real-time processing.",infrastructure,#7B3FE4,https://www.coreweave.com,https://github.com/coreweave,https://docs.coreweave.com
Red Hat OpenShift,Enterprise Kubernetes platform for hybrid cloud deployments of AI applications,"An enterprise Kubernetes container platform that provides a consistent application platform for managing hybrid cloud and multicloud deployments. OpenShift includes tools for DevOps, application services, and optimized performance for AI/ML workloads with GPU support and integration with ML frameworks.",infrastructure,#EE0000,https://www.redhat.com/en/technologies/cloud-computing/openshift,https://github.com/openshift,https://docs.openshift.com
VMware vSphere,Virtualization platform for building on-premises and private cloud AI infrastructure,"An enterprise virtualization platform that provides a foundation for private cloud deployments, with capabilities for running AI/ML workloads on-premises. vSphere supports GPU passthrough and virtualization, containerized workloads with Kubernetes integration, and flexible resource management for compute-intensive applications.",infrastructure,#696566,https://www.vmware.com/products/vsphere.html,https://github.com/vmware,https://docs.vmware.com/en/VMware-vSphere
Nutanix,Hyperconverged infrastructure solution for enterprise private cloud and AI workloads,"A hyperconverged infrastructure solution that combines virtualized compute, storage, and networking in a single integrated platform for enterprise applications. Nutanix provides capabilities for running AI/ML workloads on-premises with GPU support, containerization, and simplified management.",infrastructure,#024DA1,https://www.nutanix.com,https://github.com/nutanix,https://portal.nutanix.com/page/documents/solutions
OpenStack,Open-source cloud computing platform for private and public clouds with AI capabilities,"An open-source cloud computing platform that enables organizations to build and operate private and public clouds. OpenStack provides infrastructure-as-a-service with support for GPU resources, container orchestration, and high-performance computing capabilities necessary for AI workloads.",infrastructure,#ED1944,https://www.openstack.org,https://github.com/openstack,https://docs.openstack.org
GPT-4,OpenAI's most capable large language model for solving difficult problems with greater accuracy,"OpenAI's most advanced large language model that demonstrates human-level performance on various professional and academic benchmarks. GPT-4 is a multimodal model that can process both text and image inputs and generate text outputs, with significantly improved reasoning, instruction following, and safety characteristics.",modelserving,#10A37F,https://openai.com/gpt-4,,https://platform.openai.com/docs/models/gpt-4
Claude,"Anthropic's family of frontier AI models known for harmlessness, helpfulness, and honesty","A family of large language models developed by Anthropic that excel in natural conversation, text analysis, content generation, and coding assistance. Claude models are designed with a focus on safety, helpfulness, and honesty, with capabilities in reasoning, creative collaboration, and understanding complex instructions.",modelserving,#5436DA,https://www.anthropic.com/claude,,https://docs.anthropic.com/claude/docs
Llama 3,Meta's open-source family of large language models that perform competitively with top proprietary models,"Meta's family of open-source large language models that demonstrate strong performance across reasoning, coding, proficiency exams, and language tasks. Llama 3 models are available in different sizes and variations for research and commercial use, enabling broader innovation while maintaining responsible AI development.",modelserving,#0668E1,https://ai.meta.com/llama,https://github.com/meta-llama/llama,https://llama.meta.com/docs
Mistral AI,Developer of open and proprietary frontier language models with state-of-the-art performance,"A company that develops advanced large language models combining open and proprietary approaches. Mistral AI offers models in various sizes with strong performance in reasoning, mathematics, and code generation, supporting multiple languages and providing both open-source models and commercial API access.",modelserving,#5073B3,https://mistral.ai,https://github.com/mistralai,https://docs.mistral.ai
Stable Diffusion,Open-source text-to-image diffusion model for generating and editing realistic images,"An open-source text-to-image latent diffusion model capable of generating photorealistic images from text descriptions. Stable Diffusion enables image generation, editing, inpainting, outpainting, and variations with relatively modest computing requirements, democratizing access to high-quality image synthesis capabilities.",applications,#E44666,https://stability.ai/stable-diffusion,https://github.com/Stability-AI/stablediffusion,https://huggingface.co/docs/diffusers/main/en/stable_diffusion
DALL-E,OpenAI's text-to-image AI system capable of creating realistic and artistic visual content,"A text-to-image AI system developed by OpenAI that generates images from text descriptions. DALL-E can create realistic images and artwork from natural language prompts, understanding complex relationships between objects, stylistic elements, and spatial arrangements to produce highly creative and detailed visual content.",applications,#FF6788,https://openai.com/dall-e,,https://platform.openai.com/docs/guides/images
Midjourney,"AI image generation platform creating detailed, artistic visuals from text descriptions","An AI image generation service that creates detailed, artistic visuals from text prompts. Midjourney specializes in generating highly aesthetic and stylized imagery with a distinctive artistic quality, making it popular for creative applications, concept art, and visual ideation across industries.",applications,#0099FF,https://www.midjourney.com,,https://docs.midjourney.com
Gemini,"Google's family of multimodal AI models capable of reasoning across text, images, audio, and code","Google's family of multimodal large language models designed to reason across text, images, audio, video, and code. Gemini models come in different sizes optimized for various applications and compute requirements, from on-device deployment to complex enterprise solutions, with state-of-the-art performance across benchmarks.",modelserving,#4285F4,https://deepmind.google/technologies/gemini,,https://ai.google.dev/docs
NVIDIA A100 Tensor Core GPU,High-performance GPU designed specifically for AI and HPC workloads with Tensor Core technology,"NVIDIA's data center GPU built on the Ampere architecture that delivers significant performance improvements for AI training and inference applications. The A100 features third-generation Tensor Cores, Multi-Instance GPU technology, and structural sparsity support, revolutionizing computational efficiency for large-scale AI workloads.",infrastructure,#76B900,https://www.nvidia.com/en-us/data-center/a100,,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/nvidia-a100-datasheet-us-nvidia-1758950-r4-web.pdf
NVIDIA H100 Tensor Core GPU,NVIDIA's flagship GPU for AI powered by the Hopper architecture with transformative performance,"NVIDIA's flagship GPU based on the Hopper architecture that establishes new standards for accelerated computing. The H100 features fourth-generation Tensor Cores with Transformer Engine technology specifically designed to accelerate LLM training and inference, along with unprecedented memory bandwidth and efficiency optimizations.",infrastructure,#76B900,https://www.nvidia.com/en-us/data-center/h100,,https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet
Google TPU,Custom-developed application-specific integrated circuits for accelerating machine learning workloads,"Google's Tensor Processing Units are custom-developed application-specific integrated circuits (ASICs) designed to accelerate machine learning workloads. TPUs offer high performance and energy efficiency for both training and inference of large models, with specialized architectures optimized for the mathematical operations common in deep learning.",infrastructure,#4285F4,https://cloud.google.com/tpu,,https://cloud.google.com/tpu/docs
AWS Inferentia,Custom machine learning chips designed by AWS to deliver high-performance inference at low cost,"Custom silicon designed by AWS to deliver high-performance machine learning inference at the lowest cost in the cloud. Inferentia chips are optimized for workloads including natural language processing, computer vision, and speech recognition, providing significant price-performance improvements over general-purpose GPUs for inference tasks.",infrastructure,#FF9900,https://aws.amazon.com/machine-learning/inferentia,,https://docs.aws.amazon.com/inferentia
AWS Trainium,Purpose-built acceleration chip designed by AWS for training deep learning models,"A custom machine learning training chip designed by AWS to deliver the most cost-effective training in the cloud. Trainium offers high performance for a wide variety of deep learning models including vision, natural language processing, and recommender systems, with optimized support for popular frameworks like PyTorch and TensorFlow.",infrastructure,#FF9900,https://aws.amazon.com/machine-learning/trainium,,https://docs.aws.amazon.com/trainium
Intel Gaudi,Purpose-built deep learning accelerators for training and inference workloads,"A family of deep learning accelerators designed for training and inference of deep learning models. Gaudi processors feature a heterogeneous architecture with specialized compute, integrated networking, and a programmable matrix math engine, delivering high performance and cost efficiency for AI workloads in data centers.",infrastructure,#0071C5,https://www.intel.com/content/www/us/en/products/details/processors/habana-gaudi.html,,https://docs.habana.ai
AMD Instinct,"High-performance accelerators for machine learning, HPC, and AI workloads","AMD's line of high-performance accelerators for machine learning, HPC, and AI workloads. Instinct accelerators feature AMD CDNA architecture, high memory bandwidth, and are optimized for modern AI frameworks, enabling organizations to efficiently train and deploy complex models at scale.",infrastructure,#ED1C24,https://www.amd.com/en/graphics/instinct-server-accelerators,,https://www.amd.com/en/documentation-overview/documentation-overview.html
Cerebras CS-2,World's largest AI chip for accelerating deep learning compute with Wafer-Scale Engine,"A complete AI compute system built around the Cerebras Wafer-Scale Engine (WSE-2), the world's largest processor with 2.6 trillion transistors and 850,000 cores optimized for deep learning. The CS-2 dramatically accelerates training and inference workloads, featuring massive memory bandwidth and specialized architecture to reduce training time from months to minutes.",infrastructure,#00A453,https://cerebras.net/product/,,https://docs.cerebras.net
SambaNova,Reconfigurable dataflow architecture for accelerating machine learning workloads,"An integrated hardware-software platform with a reconfigurable dataflow architecture designed to accelerate machine learning workloads. SambaNova's systems deliver high performance for both training and inference, with a software-defined hardware approach that adapts to changing AI algorithms and models.",modelserving,#00A6D6,https://sambanova.ai,,https://docs.sambanova.ai
Groq,"AI inference chip with Language Processing Unit for high-throughput, deterministic processing","A specialized AI compute architecture featuring the Language Processing Unit (LPU) designed for high-throughput, deterministic processing. Groq's technology delivers industry-leading inference speed and latency for large language models, with a unique approach to sequencing compute operations that enables predictable performance for real-time AI applications.",modelserving,#E51937,https://groq.com,,https://docs.groq.com
Together AI,"Platform providing fast, reliable, and cost-effective API access to open foundation models","A platform that provides fast, reliable, and cost-effective API access to leading open-source foundation models. Together AI offers optimized inference for a wide range of models including Llama 3, Mixtral, and Claude, with enterprise-grade reliability and the flexibility to use or fine-tune models for specific applications.",modelserving,#624DE3,https://www.together.ai,https://github.com/togethercomputer,https://docs.together.ai
Perplexity AI,AI-powered answer engine that provides conversational search with citation-based answers,"An AI-powered answer engine that combines large language models and search technology to provide accurate, conversational answers with cited sources. Perplexity AI allows users to search conversationally, follow up with questions, and receive information with attribution to support trusted information discovery.",applications,#5530FB,https://www.perplexity.ai,,https://docs.perplexity.ai
Cohere,Platform offering high-performance language models and embedding models via API,"A platform providing access to powerful language models through simple APIs for product integration. Cohere specializes in text generation, classification, retrieval, and embedding models designed for enterprise use cases, with capabilities for multilingual support, content moderation, and customization through fine-tuning.",modelserving,#0100FF,https://cohere.com,https://github.com/cohere-ai,https://docs.cohere.com
Deepgram Nova,Enterprise-ready speech model delivering highly accurate transcription and understanding,"An advanced speech AI model delivering highly accurate speech-to-text capabilities across domains, accents, and environments. Deepgram Nova combines low latency with superior accuracy, offering features like speaker diarization, language identification, and topic detection for comprehensive speech understanding in enterprise applications.",modelserving,#52ADFF,https://deepgram.com/product/nova,,https://developers.deepgram.com/docs/nova-model
Apache NiFi,Dataflow system for automating data movement between systems with visual interface,"An enterprise data flow management system that automates the movement of data between disparate systems. NiFi provides a web-based visual interface for designing, controlling, and monitoring data flows, with capabilities for transformation, routing, and system mediation, making it ideal for ingesting AI training data from diverse sources.",datalayer,#728E9B,https://nifi.apache.org,https://github.com/apache/nifi,https://nifi.apache.org/docs.html
dbt Cloud,Managed service for the data build tool with development environment and orchestration,"A managed service that provides a development environment, production orchestration, and documentation for data transformation workflows created with dbt. dbt Cloud enables teams to collaboratively develop, test, and deploy analytics code with version control integration, scheduling, and monitoring capabilities.",datalayer,#FF694B,https://www.getdbt.com/product/dbt-cloud,https://github.com/dbt-labs,https://docs.getdbt.com/docs/cloud/about-cloud
Fivetran,"Automated data integration platform for syncing data from applications, databases, and files","A fully managed data integration service that automates the process of extracting, loading, and transforming data from various sources into data warehouses. Fivetran provides pre-built connectors for hundreds of data sources, with features for automated schema migration, incremental updates, and data normalization.",datalayer,#4E80EF,https://www.fivetran.com,,https://fivetran.com/docs
Airbyte,"Open-source data integration platform for ELT pipelines from APIs, databases, and files","An open-source data integration platform that helps move data from different sources to destinations. Airbyte provides a large catalog of pre-built connectors for databases, APIs, and file systems, with features for data synchronization, transformation, and a user-friendly interface for configuring and monitoring data pipelines.",datalayer,#9868FF,https://airbyte.com,https://github.com/airbytehq/airbyte,https://docs.airbyte.com
Apache Beam,Unified programming model for batch and streaming data processing pipelines,"An open-source, unified programming model for defining both batch and streaming data processing pipelines. Beam provides language-specific SDKs for defining pipelines and runners that execute them on distributed processing backends like Apache Flink, Apache Spark, and Google Cloud Dataflow.",datalayer,#F9B236,https://beam.apache.org,https://github.com/apache/beam,https://beam.apache.org/documentation/
Stitch,"Simple, extensible cloud ETL service for rapidly moving data to data warehouses","A cloud ETL service that integrates data from various sources into data warehouses. Stitch offers a simple, easy-to-use interface for setting up data pipelines, with support for a wide range of data sources including databases, SaaS applications, and event tracking systems.",datalayer,#FF7964,https://www.stitchdata.com,,https://www.stitchdata.com/docs
Matillion,Cloud-native data integration and transformation platform for cloud data warehouses,"A cloud-native data integration and transformation platform designed specifically for cloud data warehouses. Matillion provides a visual interface for building ETL/ELT pipelines, with components for extracting data from various sources, transforming it using a low-code approach, and loading it into cloud data warehouses.",datalayer,#5AC3F2,https://www.matillion.com,,https://documentation.matillion.com
Talend,Data integration and integrity platform with comprehensive data quality capabilities,"A comprehensive data integration and data integrity platform that provides tools for data integration, quality, governance, and cataloging. Talend offers a unified approach to data management with visual interfaces for designing data flows, data quality rules, and monitoring capabilities.",datalayer,#FF6D70,https://www.talend.com,https://github.com/Talend,https://help.talend.com
